Price,Address,homeType,beds,baths,sq_feet,Status,Link,Unit Count
"$1,795/mo",3390-Foxridge-Dr-Colorado-Springs-CO-80916,SINGLE_FAMILY,4,2,1666,FOR_RENT,www.zillow.com//homedetails/3390-Foxridge-Dr-Colorado-Springs-CO-80916/13632233_zpid/,--
$950/mo,1105-Cree-Dr-APT-2-Colorado-Springs-CO-80915,APARTMENT,1,1,600,FOR_RENT,www.zillow.com//homedetails/1105-Cree-Dr-APT-2-Colorado-Springs-CO-80915/2087855754_zpid/,--
"$1,075/mo",2923-1-Straus-Ln-Colorado-Springs-CO-80907,APARTMENT,2,1,845,FOR_RENT,www.zillow.com//homedetails/2923-1-Straus-Ln-Colorado-Springs-CO-80907/2069921775_zpid/,--
"$1,995/mo",3350-E-Parade-Cir-Colorado-Springs-CO-80917,SINGLE_FAMILY,4,2,1745,FOR_RENT,www.zillow.com//homedetails/3350-E-Parade-Cir-Colorado-Springs-CO-80917/13595385_zpid/,--
"$2,600/mo",134-Miramar-Dr-Colorado-Springs-CO-80906,SINGLE_FAMILY,3,3,3589,FOR_RENT,www.zillow.com//homedetails/134-Miramar-Dr-Colorado-Springs-CO-80906/13628942_zpid/,--
"$1,395/mo",630-E-Dale-St-Colorado-Springs-CO-80903,SINGLE_FAMILY,2,1,1724,FOR_RENT,www.zillow.com//homedetails/630-E-Dale-St-Colorado-Springs-CO-80903/13606733_zpid/,--
"$2,200/mo",7134-Amber-Ridge-Dr-Colorado-Springs-CO-80922,SINGLE_FAMILY,5,3,3064,FOR_RENT,www.zillow.com//homedetails/7134-Amber-Ridge-Dr-Colorado-Springs-CO-80922/64704301_zpid/,--
"$1,725/mo",3225-Bunker-Hill-Dr-Colorado-Springs-CO-80920,SINGLE_FAMILY,3,2,1325,FOR_RENT,www.zillow.com//homedetails/3225-Bunker-Hill-Dr-Colorado-Springs-CO-80920/13570575_zpid/,--
"$2,000/mo",6578-Baytree-Grv-Colorado-Springs-CO-80923,TOWNHOUSE,3,2.5,1565,FOR_RENT,www.zillow.com//homedetails/6578-Baytree-Grv-Colorado-Springs-CO-80923/80388465_zpid/,--
"$2,900/mo",6645-Finecrest-Dr-Colorado-Springs-CO-80923,SINGLE_FAMILY,4,3,2254,FOR_RENT,www.zillow.com//homedetails/6645-Finecrest-Dr-Colorado-Springs-CO-80923/69038009_zpid/,--
